doc_id,old_topic,corrected_topic
199,"Academic performance can be challenging and impact your mental health. In therapy, we can work on identifying any",Behavioral issues
642,Womans issues,Anxiety
1115,Mental health issues,Social relationships
1395,Therapy and counseling,Therapy and counseling
1976,Fatigue,Stress management
2575,Fatigue can be a sign of a number of underlying health issues. Lets discuss your symptoms and work,Stress management
2995,Divorce,Couples therapy and relationship counseling
3944,"Trust issues can be a symptom of various issues, such as past trauma or anxiety. Lets explore what",Anxiety
4038,"Academic performance can be affected by various factors, such as learning disabilities and test anxiety. Lets explore your",Anxiety
4039,Academic struggles can be related to Attention-Deficit/Hyperactivity Disorder (ADHD).,Behavioral issues
4438,Faith issues,"None of the topics in the list directly address faith issues. However, if I must choose the closest"
4496,Financial issues,Stress management
4514,Financial issues,Stress management
4620,Memory issues can be a symptom of many underlying issues. Lets work together to identify any potential causes and,Stress management
4637,Memory issues can be a symptom of underlying medical or psychological conditions. Lets discuss your symptoms and explore any,Stress management
4646,"Memory problems can be caused by a variety of factors, such as stress or depression. We can work",Stress management
4653,Mental health challenges,Anxiety
4674,Motivation issues can be very common. Lets talk about your specific concerns and work together to develop a,Stress management
4684,Motivation challenges can be common. Lets explore your goals and ways to create a plan for success.,Anxiety
4881,Spirituality and faith,Family conflict
4910,Schizophrenia,Behavioral issues
5161,Spiritual beliefs,Grief and loss
5162,Spirituality,Spirituality and mental health issues can often intersect with topics like 'Anxiety' or 'Self
5163,Spiritual exploration,Self-esteem and self-worth
5229,Time management,Stress management
5237,Time-management,Stress management
5253,Trust issues,Trust issues
5352,"Public speaking can be nerve-wracking, but its a skill that can be learned and improved upon",Anxiety
5522,Spirituality,Grief and loss
6019,Womans issues,Grief and loss
6020,Womans issues,Grief and loss
6021,Womans issues,Grief and loss
6024,Womans issues,Children and adolescent therapy
6026,Womans issues,Grief and loss
6120,Womans issues,Self-esteem and self-worth
6175,Emotional regulation,Emotional regulation is often associated with 'Anxiety'.
6176,Spiritual exploration,"Spiritual exploration is not explicitly covered in the provided topics, but the closest relevant topic would be """
6177,Faith and spirituality,"None of the topics in the list directly address struggles with faith or spirituality. However, if I must"
6178,"Faith can be a personal and complex experience, but its important to explore your beliefs and values in a",Spirituality and faith exploration
6179,Faith exploration,Stress management
6180,Spiritual awareness and connection,Self-esteem and self-worth
6181,Spiritual fulfillment,"Spirituality and faith issues are not explicitly listed in the provided topics, but the closest relevant topic"
6182,Faith and spirituality,Women's issues
6183,Spirituality,"Spirituality and faith struggles do not directly align with the provided topics. However, the closest relevant"
6185,Spiritual struggles,Self-esteem and self-worth
6186,Faith issues,"Spirituality and faith issues are not explicitly listed in the provided topics, but the closest relevant topic"
6268,Mental health concerns,Anxiety
6389,Spirituality,Self-esteem and self-worth
6390,Spiritual issues,"None of the topics in the list directly address spirituality. However, if I must choose the closest relevant"
6391,Spiritual concerns,"Spirituality and mental health issues are not explicitly covered in the provided topics. However, the closest"
6927,Emotional regulation,"Emotional regulation can be a challenging skill to develop, but it's important for overall well-being and healthy"
7103,Spirituality,'LGBTQ+ issues'
